Project ID,Project,Area,Status,Priority,Attention,Current State,Latest Milestone,Next Action,Blocker / Dependency,Known Deadline / Event,Suggested Follow-Up,Last Reviewed,Notes
"DEMO-001","AI Support Assistant","Software & AI","Complete","High","Closed","A retrieval-based support assistant is ready for a portfolio walkthrough.","Completed source-grounded responses, validation checks, and a compact admin workflow.","Archive the release notes and capture a short product demo.","None.",,,,"Fictional portfolio record."
"DEMO-002","Student Onboarding Portal","Software & AI","Active","High","This week","Progress-aware continuation is working in the local application.","Added durable completion state, stable activity identifiers, and resume-to-next-step behavior.","Polish the returning-user flow and run the usability checklist.","Two edge cases still need browser-level validation.",,,,"Fictional portfolio record."
"DEMO-003","Offline Strategy Lab","Data & Research","Active","High","This week","The research workspace runs locally with simulation-only safety boundaries.","Documented the no-live-execution boundary and completed the first offline scenario.","Run the full simulated workflow and summarize the next bounded experiment.","The latest benchmark results have not been reconfirmed.",,,,"Fictional portfolio record."
"DEMO-004","Agent Workflow Hub","Software & AI","Planning","Medium","Later","A lightweight coordinator prototype exists for visible, approval-gated workflows.","Basic task assignment and activity history are available.","Choose two recurring workflows and define their approval checkpoints.","The value proposition needs to be narrower before expanding automation.",,,,"Fictional portfolio record."
"DEMO-005","Home Lab Storage Map","Infrastructure","Active","Medium","Later","Storage, backup, and artifact-retention roles are being mapped for a small home lab.","Completed a hardware inventory and initial folder taxonomy.","Document mount checks, backup frequency, and recovery ownership.","The final backup destination has not been selected.",,,,"Fictional portfolio record."
"DEMO-006","Job Application Toolkit","Career","Active","High","This week","The toolkit can score roles, prepare tailored packets, and track applications.","Completed parsing, fit scoring, and a review-first packet builder.","Run one end-to-end application and capture a concise case study.","No technical blocker; a representative role still needs to be selected.",,,,"Fictional portfolio record."
"DEMO-007","Customer Research Sprint","Research","Waiting","Medium","Follow up","Initial interviews are complete and themes are ready for synthesis.","Grouped feedback into routines, pain points, and purchasing questions.","Schedule the synthesis review and decide which assumption to test next.","Waiting for two participants to confirm follow-up availability.",,,,"Fictional portfolio record."
"DEMO-008","Device Deployment Pilot","IT Operations","Blocked","High","Unblock","The pilot configuration reaches test devices but fails during the final activation step.","Narrowed the failure to a downstream licensing requirement.","Capture activation logs, compare a known-good device, and retest.","The missing activation prerequisite has not been isolated.",,,,"Fictional portfolio record."
"DEMO-009","Dashboard Accessibility Review","Product","Waiting","Medium","Follow up","Keyboard navigation and contrast checks are complete for the primary views.","Resolved heading order and focus visibility issues.","Collect one final screen-reader review and document remaining improvements.","Waiting for the accessibility review session.",,,,"Fictional portfolio record."
"DEMO-010","Documentation Refresh","IT Operations","Active","Low","Later","Frequently used support articles are being standardized into one template.","Rewrote the first five articles with consistent prerequisites and validation steps.","Finish the remaining articles and add a lightweight review cadence.","Subject-matter review capacity is limited this week.",,,,"Fictional portfolio record."
"DEMO-011","Portfolio Case Studies","Career","Planning","Medium","Later","Three projects have enough evidence for concise public case studies.","Selected the problem, contribution, validation, and outcome structure.","Draft the first case study and choose supporting screenshots.","Public-safe screenshots and final outcome metrics still need review.",,,,"Fictional portfolio record."
"DEMO-012","Analytics Cleanup","Data & Research","Complete","Low","Closed","The reporting dataset has consistent categories and documented calculations.","Removed duplicate records and added reconciliation checks.","Archive the cleanup notes and preserve the validation query.","None.",,,,"Fictional portfolio record."
